PricingKey,ProductKey,ChannelKey,EffectiveDateKey,ChannelMRP,TransferPrice,MarginSpreadAmount,MarginSpreadPct,SourceSystem,ETL_LoadedAt
152,1029,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
153,1024,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
154,1025,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
155,1040,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
156,1039,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
157,1038,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
158,1041,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
159,1036,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
160,1037,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
161,158,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
162,157,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
163,156,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
164,159,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
165,154,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
166,155,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
167,146,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
168,145,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
169,144,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
170,147,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
171,142,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
172,143,7,20220501,2495.00,1040.00,1455.00,139.90,May 2022 Pricing Master,2026-09-07T07:48:47.421676
173,98,7,20220501,2495.00,950.00,1545.00,162.63,May 2022 Pricing Master,2026-09-07T07:48:47.421676
174,97,7,20220501,2495.00,950.00,1545.00,162.63,May 2022 Pricing Master,2026-09-07T07:48:47.421676
175,96,7,20220501,2495.00,950.00,1545.00,162.63,May 2022 Pricing Master,2026-09-07T07:48:47.421676
176,99,7,20220501,2495.00,950.00,1545.00,162.63,May 2022 Pricing Master,2026-09-07T07:48:47.421676
177,94,7,20220501,2495.00,950.00,1545.00,162.63,May 2022 Pricing Master,2026-09-07T07:48:47.421676
178,95,7,20220501,2495.00,950.00,1545.00,162.63,May 2022 Pricing Master,2026-09-07T07:48:47.421676
179,176,7,20220501,2150.00,940.00,1210.00,128.72,May 2022 Pricing Master,2026-09-07T07:48:47.421676
180,175,7,20220501,2150.00,940.00,1210.00,128.72,May 2022 Pricing Master,2026-09-07T07:48:47.421676
181,174,7,20220501,2150.00,940.00,1210.00,128.72,May 2022 Pricing Master,2026-09-07T07:48:47.421676
182,177,7,20220501,2150.00,940.00,1210.00,128.72,May 2022 Pricing Master,2026-09-07T07:48:47.421676
183,172,7,20220501,2150.00,940.00,1210.00,128.72,May 2022 Pricing Master,2026-09-07T07:48:47.421676
184,173,7,20220501,2150.00,940.00,1210.00,128.72,May 2022 Pricing Master,2026-09-07T07:48:47.421676
185,182,7,20220501,2250.00,925.00,1325.00,143.24,May 2022 Pricing Master,2026-09-07T07:48:47.421676
186,181,7,20220501,2250.00,925.00,1325.00,143.24,May 2022 Pricing Master,2026-09-07T07:48:47.421676
187,180,7,20220501,2250.00,925.00,1325.00,143.24,May 2022 Pricing Master,2026-09-07T07:48:47.421676
188,183,7,20220501,2250.00,925.00,1325.00,143.24,May 2022 Pricing Master,2026-09-07T07:48:47.421676
189,178,7,20220501,2250.00,925.00,1325.00,143.24,May 2022 Pricing Master,2026-09-07T07:48:47.421676
190,179,7,20220501,2250.00,925.00,1325.00,143.24,May 2022 Pricing Master,2026-09-07T07:48:47.421676
191,74,7,20220501,1995.00,900.00,1095.00,121.67,May 2022 Pricing Master,2026-09-07T07:48:47.421676
192,73,7,20220501,1995.00,900.00,1095.00,121.67,May 2022 Pricing Master,2026-09-07T07:48:47.421676
193,72,7,20220501,1995.00,900.00,1095.00,121.67,May 2022 Pricing Master,2026-09-07T07:48:47.421676
194,75,7,20220501,1995.00,900.00,1095.00,121.67,May 2022 Pricing Master,2026-09-07T07:48:47.421676
195,70,7,20220501,1995.00,900.00,1095.00,121.67,May 2022 Pricing Master,2026-09-07T07:48:47.421676
196,71,7,20220501,1995.00,900.00,1095.00,121.67,May 2022 Pricing Master,2026-09-07T07:48:47.421676
197,301,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
198,300,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
199,299,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
200,302,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
201,297,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
202,298,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
203,307,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
204,306,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
205,305,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
206,308,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
207,303,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
208,304,7,20220501,2695.00,1150.00,1545.00,134.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
209,242,7,20220501,2150.00,910.00,1240.00,136.26,May 2022 Pricing Master,2026-09-07T07:48:47.421676
210,241,7,20220501,2150.00,910.00,1240.00,136.26,May 2022 Pricing Master,2026-09-07T07:48:47.421676
211,240,7,20220501,2150.00,910.00,1240.00,136.26,May 2022 Pricing Master,2026-09-07T07:48:47.421676
212,243,7,20220501,2150.00,910.00,1240.00,136.26,May 2022 Pricing Master,2026-09-07T07:48:47.421676
213,238,7,20220501,2150.00,910.00,1240.00,136.26,May 2022 Pricing Master,2026-09-07T07:48:47.421676
214,239,7,20220501,2150.00,910.00,1240.00,136.26,May 2022 Pricing Master,2026-09-07T07:48:47.421676
215,460,7,20220501,1595.00,361.00,1234.00,341.83,May 2022 Pricing Master,2026-09-07T07:48:47.421676
216,458,7,20220501,1595.00,361.00,1234.00,341.83,May 2022 Pricing Master,2026-09-07T07:48:47.421676
217,457,7,20220501,1595.00,361.00,1234.00,341.83,May 2022 Pricing Master,2026-09-07T07:48:47.421676
218,456,7,20220501,1595.00,361.00,1234.00,341.83,May 2022 Pricing Master,2026-09-07T07:48:47.421676
219,459,7,20220501,1595.00,361.00,1234.00,341.83,May 2022 Pricing Master,2026-09-07T07:48:47.421676
220,855,7,20220501,1695.00,375.00,1320.00,352.00,May 2022 Pricing Master,2026-09-07T07:48:47.421676
221,853,7,20220501,1695.00,375.00,1320.00,352.00,May 2022 Pricing Master,2026-09-07T07:48:47.421676
222,852,7,20220501,1695.00,375.00,1320.00,352.00,May 2022 Pricing Master,2026-09-07T07:48:47.421676
223,851,7,20220501,1695.00,375.00,1320.00,352.00,May 2022 Pricing Master,2026-09-07T07:48:47.421676
224,854,7,20220501,1695.00,375.00,1320.00,352.00,May 2022 Pricing Master,2026-09-07T07:48:47.421676
225,595,7,20220501,1795.00,435.00,1360.00,312.64,May 2022 Pricing Master,2026-09-07T07:48:47.421676
226,594,7,20220501,1795.00,435.00,1360.00,312.64,May 2022 Pricing Master,2026-09-07T07:48:47.421676
227,593,7,20220501,1795.00,435.00,1360.00,312.64,May 2022 Pricing Master,2026-09-07T07:48:47.421676
228,596,7,20220501,1795.00,435.00,1360.00,312.64,May 2022 Pricing Master,2026-09-07T07:48:47.421676
229,591,7,20220501,1795.00,435.00,1360.00,312.64,May 2022 Pricing Master,2026-09-07T07:48:47.421676
230,592,7,20220501,1795.00,435.00,1360.00,312.64,May 2022 Pricing Master,2026-09-07T07:48:47.421676
231,435,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
232,433,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
233,432,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
234,431,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
235,434,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
236,445,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
237,443,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
238,442,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
239,441,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
240,444,7,20220501,1795.00,425.00,1370.00,322.35,May 2022 Pricing Master,2026-09-07T07:48:47.421676
241,450,7,20220501,1895.00,450.00,1445.00,321.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
