InventoryKey,SnapshotDateKey,ProductKey,StockOnHandQuantity,ReorderThreshold,StockValueAtCost,StockValueAtMRP,SourceSystem,ETL_LoadedAt
263,20220601,2055,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
264,20220601,2061,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
265,20220601,2073,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
266,20220601,2082,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
267,20220601,2086,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
268,20220601,2094,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
269,20220601,2102,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
270,20220601,2103,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
271,20220601,2107,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
272,20220601,2108,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
273,20220601,2111,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
274,20220601,2114,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
275,20220601,2119,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
276,20220601,2120,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
277,20220601,2122,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
278,20220601,2125,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
279,20220601,2130,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
280,20220601,2142,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
281,20220601,2150,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
282,20220601,2155,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
283,20220601,2156,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
284,20220601,2160,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
285,20220601,2164,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
286,20220601,2166,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
287,20220601,2170,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
288,20220601,2171,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
289,20220601,2181,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
290,20220601,2189,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
291,20220601,2202,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
292,20220601,2204,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
293,20220601,2207,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
294,20220601,2213,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
295,20220601,2221,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
296,20220601,2228,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
297,20220601,2255,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
298,20220601,2260,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
299,20220601,2269,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
300,20220601,2270,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
301,20220601,2274,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
302,20220601,2279,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
