ProductKey,SKU,ProductName,Category,BaseMRP,TransferPrice,AmazonMRP,MyntraMRP,AjioMRP,FlipkartMRP,LimeroadMRP,PaytmMRP,SnapdealMRP,MaxCrossChannelSpreadAmount,ArbitrageSpreadPct
1038,OS263_15383_L,KURTA - OS263_15383 (MIX),KURTA,1795.00,425.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,1695.00,100.00,5.900000000000000
540,OS160_XS,KURTA - OS160 (MIX),KURTA,2240.00,424.00,1695.00,1695.00,1695.00,1695.00,1795.00,1895.00,1695.00,200.00,11.800000000000000
291,OS113_3090_2XL,KURTA - OS113_3090 (MIX),KURTA,1995.00,500.00,1995.00,1995.00,1995.00,1995.00,2095.00,1995.00,2095.00,100.00,5.010000000000000
42,OS102_14255_S,KURTA - OS102_14255 (MIX),KURTA,1595.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
397,OS134_S,KURTA SET - OS134 (MIX),KURTA SET,3495.00,790.00,3495.00,3495.00,3495.00,3495.00,3495.00,3495.00,3495.00,0.00,0E-15
895,OS220_3154_M,KURTA - OS220_3154 (BREEZE-4),KURTA,2038.00,505.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,0.00,0E-15
1087,OS272_S,KURTA SET - OS272 (FOUR GEMS 2),KURTA SET,2795.00,680.00,2795.00,2795.00,2995.00,2795.00,2795.00,2795.00,2795.00,200.00,7.160000000000000
5,COPPER-1276,NILL - COPPER-1276 (NILL),NILL,3499.00,995.00,3499.00,3499.00,3499.00,3499.00,3499.00,3499.00,3499.00,0.00,0E-15
254,OS111_3074_2XL,KURTA - OS111_3074 (MIX),KURTA,1895.00,471.00,1895.00,1895.00,1895.00,1895.00,1995.00,1895.00,1995.00,100.00,5.280000000000000
646,OS178_1115_3XL,KURTA - OS178_1115 (MIX),KURTA,2398.00,595.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,0.00,0E-15
732,OS192_1124_M,KURTA - OS192_1124 (MIX),KURTA,2298.00,570.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
981,OS235_1112_XL,KURTA - OS235_1112 (MIX),KURTA,3858.00,952.00,3995.00,3995.00,3995.00,3995.00,3995.00,3995.00,3995.00,0.00,0E-15
