Country,State,City,Region,TotalOrders,TotalUnitsSold,GrossRevenue,NetRevenue,GlobalRevenueSharePct
UNITED KINGDOM,AZ,PHOENIX,Europe,250,765,243116.63,238988.33,0.110000
IN,ODISHA,TITLAGARH,India,6,6,4421.00,2424.00,0.000000
IN,GOA,SOUTH GOA,India,39,42,21441.00,20792.00,0.010000
IN,GOA,CANDOLIM,India,7,7,3749.00,2601.00,0.000000
IN,JHARKHAND,JHUMRI TILAIYA,India,9,9,5309.00,4910.00,0.000000
IN,UTTAR PRADESH,SHAJAHANPUR,India,1,1,435.00,435.00,0.000000
IN,TAMIL NADU,GUDUVANCHERY,India,2,2,1092.00,1092.00,0.000000
IN,GUJARAT,DEODAR,India,2,2,1550.00,1550.00,0.000000
IN,HARYANA,MANDI DABWALI,India,2,2,2638.00,2638.00,0.000000
IN,KERALA,KAYAMKULAM,India,21,19,10976.86,9419.00,0.010000
IN,UTTAR PRADESH,MAURANIPUR,India,3,2,1514.00,824.00,0.000000
IN,DELHI,RAJOURI GARDEN,India,1,1,657.00,657.00,0.000000
IN,KERALA,KOLLAKADAVU,India,1,1,469.00,469.00,0.000000
IN,MANIPUR,LEIMAKHONG TOWN,India,5,14,10488.95,6498.00,0.000000
IN,KARNATAKA,K R PURAM BENGALURU,India,1,1,635.00,635.00,0.000000
IN,MAHARASHTRA,KENJAL,India,1,0,0.00,0.00,0.000000
IN,ANDHRA PRADESH,TIRUCHANUR,India,1,2,1190.00,1190.00,0.000000
IN,GUJARAT,"VADODARA, VADODARA",India,1,1,885.00,885.00,0.000000
IN,ODISHA,RAYAGADA,India,2,2,1224.00,1224.00,0.000000
IN,TAMIL NADU,THIRUVALLUR,India,24,23,14523.57,14075.00,0.010000
IN,JAMMU & KASHMIR,BHADERWAH,India,4,3,1789.00,1789.00,0.000000
IN,KARNATAKA,KUMTA,India,16,15,11083.95,10543.00,0.010000
IN,UTTAR PRADESH,GHATAMPUR,India,3,3,1231.00,1231.00,0.000000
IN,TELANGANA,SICENDRABAD,India,1,1,331.00,331.00,0.000000
IN,PUNJAB,TARANTARAN,India,4,4,4070.00,2402.00,0.000000
IN,HARYANA,GHARAUNDA,India,2,2,1748.00,1748.00,0.000000
IN,GOA,GOA,India,3,2,2026.57,1318.00,0.000000
IN,GOA,BAGA,India,1,1,629.00,629.00,0.000000
IN,KERALA,PADUVILAYI,India,5,5,2582.00,2582.00,0.000000
IN,BIHAR,SIKANDRA,India,1,1,735.00,735.00,0.000000
IN,KERALA,PATTIOM,India,5,5,2505.00,1937.00,0.000000
IN,KERALA,MEPPAYYUR,India,4,4,2487.00,1095.00,0.000000
IN,UTTAR PRADESH,BANGUWAN KALAN,India,2,1,521.00,521.00,0.000000
IN,ANDHRA PRADESH,RAYACHOTI,India,10,8,6204.00,4907.00,0.000000
IN,ASSAM,KHAIRA BARI,India,4,4,4155.00,4155.00,0.000000
IN,RAJASTHAN,SAGANER,India,2,2,752.00,376.00,0.000000
IN,UTTAR PRADESH,BAKSHI KA TALAB,India,1,1,835.00,835.00,0.000000
IN,TAMIL NADU,"CHUNKANKADAI, NAGERCOIL",India,1,1,549.00,549.00,0.000000
IN,ODISHA,HIRAKUD,India,1,1,487.00,487.00,0.000000
IN,MAHARASHTRA,SAKOLI,India,7,7,5253.00,5253.00,0.000000
IN,MAHARASHTRA,NANDURBAR,India,11,10,7520.00,6820.00,0.000000
IN,TAMIL NADU,BHAVANISAGAR,India,3,3,1406.00,1406.00,0.000000
IN,WEST BENGAL,BETHUADHARAI,India,1,1,574.00,574.00,0.000000
IN,CHHATTISGARH,MUNGELI,India,3,3,1536.00,1536.00,0.000000
IN,ODISHA,KALIAPANI,India,2,2,2676.00,2676.00,0.000000
IN,TAMIL NADU,CHENKALPATTU,India,1,1,458.00,458.00,0.000000
IN,HARYANA,KOSLI,India,1,1,1099.00,1099.00,0.000000
IN,ANDHRA PRADESH,"KORNEPADU, GUNTUR",India,1,1,362.00,362.00,0.000000
IN,MAHARASHTRA,NAGPUR.,India,1,1,376.00,376.00,0.000000
IN,MADHYA PRADESH,NARSINGARH,India,1,1,859.00,859.00,0.000000
IN,MAHARASHTRA,CHALSIGAON,India,1,0,657.14,0.00,0.000000
IN,TELANGANA,HYDERABAD .,India,1,1,599.00,599.00,0.000000
IN,ANDHRA PRADESH,NARASAPUR MANDAL,India,1,0,416.19,0.00,0.000000
IN,WEST BENGAL,NORTH DINAJPUR,India,2,2,1106.00,1106.00,0.000000
IN,KERALA,THRISSUR DT,India,1,1,597.00,597.00,0.000000
IN,TAMIL NADU,NALLUR TIRUNELVELI DISTRICT,India,1,1,459.00,459.00,0.000000
IN,RAJASTHAN,DABI,India,1,1,788.00,788.00,0.000000
IN,MAHARASHTRA,SASVAD,India,3,3,3921.00,2922.00,0.000000
IN,UTTAR PRADESH,CHAKIA,India,3,3,1180.00,635.00,0.000000
